question_id;question_type;prompt_md;explanation_md;topic;subtopic;difficulty;points;time_estimate_sec;source_id;source_locator;tags;language;correct_answer_md;answer_tolerance
Q0001;single_choice;Válassza ki az áramütés meghatározását!;Az áramütés az emberi testen áthaladó villamos áram által kiváltott káros élettani hatás.;érintésvédelem;áramütés;2;1;20;S0001;75-76;érintésvédelem,áramütés;hu;;
Q0002;single_choice;Mi a vonali feszültség?;A vonali feszültség két fázis között mért feszültség.;villamos-alapok;feszültségtípusok;1;1;15;S0001;79-84;feszültség,vonalifeszültség;hu;;
Q0003;single_choice;Egészítse ki a mondatot! A védővezető színjelölése mindig:;A védővezető színjelölése zöld-sárga.;vezetékek;színek;1;1;10;S0001;89-90;védővezető,színjelölés;hu;;
Q0004;single_choice;Hogyan határozza meg a hatásos teljesítményt annak a háromfázisú villamos berendezésnek, amely névleges feszültsége 3x400V, névleges árama 6A, a teljesítménytényezője 0,9?;Háromfázisú körben a hatásos teljesítmény képlete: P = √3 × U × I × cosφ.;számítás;háromfázisú teljesítmény;2;1;30;S0001;95;teljesítmény,háromfázis;hu;;
Q0005;multi_choice;Válassza ki a felsoroltak közül azokat, amelyek kisfeszültségnek számítanak!;A kisfeszültség AC esetén 1000 V-ig, DC esetén 1500 V-ig terjed, ezért több válasz is helyes.;villamos-alapok;feszültségszintek;2;1;20;S0001;71;kisfeszültség,feszültségszint;hu;;
Q0006;single_choice;A fürdőszobában egy mosógép működik. Határozza meg, hogy mekkora a felvett áramerőssége, ha az egyfázisú motor névleges feszültsége 230V, és a teljesítménytényező 0,85! A felvett teljesítmény 1800 W.;A felvett áramerősség I = P / (U × cosφ) = 1800 / (230 × 0,85) ≈ 9,2 A.;számítás;áram és teljesítmény;2;1;45;S0001;88;áram,teljesítmény,cosfi;hu;;
Q0007;single_choice;Hol használható D kioldási karakterisztikájú kismegszakító?;A D karakterisztika nagy indulóáramú terhelésekhez, jellemzően ipari környezetben való.;védelem;kismegszakító karakterisztika;2;1;15;S0001;86-87;kismegszakító,karakterisztika;hu;;
Q0008;single_choice;Mekkora a kismegszakító maximális árama 1,5 mm2 keresztmetszetű vezetékhez?;A gyakorló feladatsorban ehhez a vezetékhez a helyes válasz 16 A.;vezetékek;vezeték és védelem;2;1;20;S0001;105;vezeték,kismegszakító;hu;;
Q0009;single_choice;Melyik kapcsolási rajz mutatja be egyszerűsített formában a villamos berendezés működését?;Az áttekintési rajz a berendezés működését egyszerűsítve mutatja meg.;rajzok;rajztípusok;1;1;15;S0013;14-15;rajz,áttekintési rajz;hu;;
Q0010;multi_choice;Válassza ki azokat az állításokat, amelyek igazak az egyvonalas ábrázolásra!;Az egyvonalas ábrázolás többféle vezetőcsoport egyszerűsített jelölésére használható.;rajzok;egyvonalas ábrázolás;2;1;25;S0013;6-11;rajz,egyvonalas;hu;;
Q0011;single_choice;Melyik rajztípus ábrázolja a készülék valamennyi belső és külső összeköttetését?;A készülékhuzalozási rajz a készülék minden belső és külső összeköttetését mutatja.;rajzok;készülékhuzalozás;2;1;20;S0013;16-18;rajz,készülékhuzalozás;hu;;
Q0012;single_choice;Mit jelent a Pdk 101 jelölés a példában?;A példában a Pdk 101 egy 1s. - 10A kapcsolót jelent.;kapcsolók;jelölések;1;1;15;S0013;24-26;kapcsoló,jelölés;hu;;
Q0013;single_choice;Mire alkalmas a váltókapcsolás?;A váltókapcsolás egy fogyasztó vagy fogyasztói csoport kapcsolására alkalmas két kapcsolási helyről.;kapcsolások;váltókapcsolás;1;1;15;S0013;39-40;váltókapcsolás,világítás;hu;;
Q0014;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a világítási áramkörök kapcsolási módjaira!;A világítási kapcsolások száma és elnevezése a vezérlési helyek számához igazodik.;kapcsolások;világítási áramkörök;2;1;25;S0013;32-33;világítás,kapcsolás;hu;;
Q0015;single_choice;Melyik kapcsolás alkalmas két fogyasztó vagy fogyasztói csoport önálló vagy egyidejű kapcsolására?;A csillárkapcsolás erre a feladatra való.;kapcsolások;csillárkapcsolás;1;1;15;S0013;37-38;csillárkapcsolás,világítás;hu;;
Q0016;single_choice;Melyik kapcsolás alkalmas egy fogyasztó vagy fogyasztói csoport kapcsolására két kapcsolási helyről?;A váltókapcsolás két helyről vezérelhető.;kapcsolások;váltókapcsolás;1;1;15;S0013;39-40;váltókapcsolás,alternatív;hu;;
Q0017;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a keresztváltó kapcsolásra!;A keresztváltó kapcsolás több kapcsolási helyről vezérelt világításhoz használható.;kapcsolások;keresztváltó kapcsolás;2;1;25;S0013;41-45;keresztkapcsoló,világítás;hu;;
Q0018;single_choice;Mit csinál az impulzusrelé minden nyomó működtetésre?;Az impulzusrelé minden nyomásra átkapcsolja az előző állapotot.;kapcsolások;impulzusrelé;1;1;15;S0013;43-45;impulzusrelé,vezérlés;hu;;
Q0019;single_choice;Mi a lépcsőházi automata lényege?;A lépcsőházi automata elengedés késleltetésű időrelé, amely a nyomó elengedése után időzítve kapcsol le.;kapcsolások;lépcsőházi automata;2;1;20;S0013;48-50;lépcsőházi automata,időrelé;hu;;
Q0020;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a hőrelére és a motorvédő kapcsolóra!;A hőrelé és a motorvédő kapcsoló a motorok túlterhelésvédelmére szolgál.;vezérlések;motorvédelem;2;1;25;S0013;52-60;motorvédelem,hőrelé;hu;;
Q0021;single_choice;Hány főáramköri záró érintkezőt tartalmaz többnyire egy mágneskapcsoló?;A mágneskapcsolók többnyire három főáramköri záró érintkezőt tartalmaznak.;vezérlések;mágneskapcsoló;1;1;15;S0013;91-93;mágneskapcsoló,érintkező;hu;;
Q0022;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a mágneskapcsolókra!;A mágneskapcsolók elektromágneses működésű készülékek, és segédérintkezőik bővíthetők.;vezérlések;mágneskapcsoló;2;1;25;S0013;91-97;mágneskapcsoló,vezérlés;hu;;
Q0023;single_choice;Melyik állítás írja le legjobban a vezérlés és a szabályzás közti különbséget?;A vezérlés a művelet eredményétől függetlenül lefut, a szabályzás visszacsatolással korrigál.;vezérlések;irányítástechnika;2;1;20;S0013;64-76;vezérlés,szabályzás;hu;;
Q0024;multi_choice;Válassza ki a vezérlés hatásláncának elemeit!;A vezérlés hatáslánca rendelkező, érzékelő, jelformáló, erősítő és beavatkozó szervből állhat.;vezérlések;hatáslánc;2;1;25;S0013;68-73;vezérlés,hatáslánc;hu;;
Q0025;single_choice;Hány részből áll a külső villámvédelmi rendszer?;A külső villámvédelmi rendszer három részből áll.;érintésvédelem;villámvédelem;1;1;15;S0013;101-117;villámvédelem,külső rendszer;hu;;
Q0026;multi_choice;Válassza ki a külső villámvédelmi rendszer részeit!;A külső villámvédelmi rendszer részei a felfogó-, levezető- és földelőrendszer.;érintésvédelem;villámvédelem;1;1;20;S0013;101-117;villámvédelem,felfogó,levezető,földelő;hu;;
Q0027;single_choice;Mit jelent az IP rövidítés a védettségi jelölésben?;Az IP az International Protection rövidítése.;védettség;IP jelölés;1;1;10;S0015;138;IP,védettség;hu;;
Q0028;multi_choice;Válassza ki azokat a színeket, amelyeket a dokumentum fázisvezetőhöz felsorol!;A dokumentum barna, fekete és szürke színt sorol a fázisvezetőhöz.;vezetékek;vezeték színek;1;1;15;S0015;136-137;fázisvezető,színek;hu;;
Q0029;single_choice;Mit jelent a J a NYY-J jelölésben?;A J azt jelenti, hogy van zöld-sárga színjelölésű ér.;vezetékek;jelölés;1;1;10;S0015;141-146;kábel,jelölés;hu;;
Q0030;single_choice;Mit jelent a G a H05VV-F 5G2,5 jelölésben?;A G azt jelenti, hogy van zöld-sárga színjelölésű ér.;vezetékek;jelölés;1;1;10;S0015;147;kábel,jelölés;hu;;
Q0031;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a kismegszakítóra!;A kismegszakító túláram és zárlat esetén old le, de nem hibaáramra van méretezve.;védelem;kismegszakító;1;1;20;S0015;148;kismegszakító,védelem;hu;;
Q0032;multi_choice;Válassza ki a feszültségmentesítés helyes lépéseit!;A dokumentumban szereplő feszültségmentesítés öt fő lépésből áll.;biztonság;feszültségmentesítés;2;1;30;S0015;70-75;biztonság,feszültségmentesítés;hu;;
Q0033;multi_choice;Válassza ki a SELV, PELV és FELV helyes leírását!;A megoldó dokumentum rövid definíciói a következő helyes megfeleltetések.;biztonság;törpefeszültség;2;1;25;S0015;51-54;SELV,PELV,FELV;hu;;
Q0034;multi_choice;Válassza ki a világítás kapcsolók 7 alap típusát!;A forrás hét alap villanykapcsoló típust sorol fel, amelyekkel a legtöbb világítási kapcsolás megoldható.;kapcsolók;kapcsoló típusok;1;1;25;S0014;alap típusok;egypólusú,kétpólusú,hárompólusú,kétáramkörös,váltó,kettős váltó,keresztkapcsoló;hu;;
Q0035;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a 101-es egypólusú kapcsolóra!;Az egypólusú kapcsoló a legegyszerűbb világításkapcsoló, és a fázisvezetőt szakítja meg.;kapcsolók;egypólusú kapcsoló;1;1;15;S0014;egypólusú kapcsoló;101,egypólusú,fázisvezető;hu;;
Q0036;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a 103-as hárompólusú kapcsolóra!;A hárompólusú kapcsoló három fázis kapcsolására alkalmas, jellemzően nagyobb teljesítményű világítási köröknél.;kapcsolók;hárompólusú kapcsoló;1;1;15;S0014;103-as kapcsoló;103, háromfázisú,világítás;hu;;
